,uid,first_seen,last_seen,stream_count,comment_count
9624885,9624885,2021-02-28,2022-05-11,145,5777
22770406,22770406,2021-03-03,2022-05-11,39,156
1865431920,1865431920,2021-03-11,2022-05-08,79,171
36004295,36004295,2021-02-15,2022-05-11,92,795
7130073,7130073,2021-03-11,2022-05-08,115,508
4600917,4600917,2021-02-28,2022-05-11,225,2045
628496673,628496673,2021-03-11,2022-05-08,247,1405
1861519,1861519,2021-03-11,2022-05-08,110,310
45409260,45409260,2021-02-25,2022-05-11,33,38
10018987,10018987,2021-03-11,2022-05-08,187,208
5258479,5258479,2021-02-27,2022-05-11,56,162
16996438,16996438,2021-02-28,2022-05-11,13,19
3868141,3868141,2021-03-04,2022-05-11,91,271
84360402,84360402,2021-03-11,2022-05-11,12,47
187472695,187472695,2021-03-11,2022-05-11,29,78
414078288,414078288,2021-02-14,2022-05-11,70,174
15446569,15446569,2021-03-11,2022-05-11,46,185
809539,809539,2021-02-14,2022-05-11,27,61
148327406,148327406,2021-03-05,2022-05-11,31,277
334375183,334375183,2021-03-11,2022-05-08,42,184
2163353,2163353,2021-03-11,2022-05-11,50,335
32336238,32336238,2021-02-15,2022-05-08,43,106
88040103,88040103,2021-02-25,2022-05-11,13,90
7119,7119,2021-03-13,2022-05-11,58,793
2270907,2270907,2021-03-13,2022-05-11,28,52
291319370,291319370,2021-02-27,2022-05-11,333,23786
16071874,16071874,2021-03-03,2022-05-08,231,2995
350875050,350875050,2021-03-13,2022-05-11,190,2857
94500979,94500979,2021-03-12,2022-05-11,97,313
9278378,9278378,2021-03-13,2022-05-11,16,205
10308545,10308545,2021-03-13,2022-05-11,169,757
5776771,5776771,2021-03-17,2022-05-08,307,3839
431890725,431890725,2021-03-04,2022-05-11,27,226
25681372,25681372,2021-03-17,2022-05-08,156,962
22761035,22761035,2021-03-17,2022-05-08,135,2584
85686448,85686448,2021-03-17,2022-05-11,103,219
168544,168544,2021-02-27,2022-05-11,84,350
82039096,82039096,2021-03-17,2022-05-08,212,547
